mark1_id,mark2_id,mark1_wordmark,mark2_wordmark,mark1_status,mark2_status,mark1_class,mark2_class,mark1_presentation,mark2_presentation,mark1_date,mark2_date,similarity_reason,label,mark1_wordmark_en,mark1_wordmark_ha,mark1_wordmark_yo,mark2_wordmark_en,mark2_wordmark_ha,mark2_wordmark_yo,mark1_length,mark2_length,same_class,length_diff,pair_type
927347776,904691705.0,LeOffer,OFFER % TV,Pedido de registro de marca indeferido,Registro de marca em vigor,NCL(11) 35,NCL(10) 35,Mista,Mista,19/07/2022,10/04/2012,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 904691705 (OFFER % TV). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,LeOffer,LeOffer,LeOffer,OFFER %TV,BAYANI TV,Ìfilọ TV,7.0,10.0,0,3,positive
927350696,827525346.0,PADARIA MERCAPv…O,MERCOPv…O,Pedido de registro de marca indeferido,Registro de marca em vigor,NCL(11) 30,NCL(8) 30,Mista,Nominativa,19/07/2022,30/05/2005,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 827525346 (MERCOPv…O) e Processo 912569824 (MERCOPv…O). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,MERCAPv BAKERY…O,MERCAPv BAKERY O,MERCAPv BEKERE O,MERCOPv…O,MERCOPv O,MERCOPv O,17.0,9.0,0,8,positive
927346303,925612367.0,PAGPOKO CALv·ADOS,Lojas Paga Pouco,Pedido de registro de marca indeferido,Registro de marca em vigor,NCL(11) 25,NCL(11) 25,Mista,Mista,19/07/2022,02/02/2022,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 925612367 (Lojas Paga Pouco). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,PAGPOKO CALv·ADOS,PAGPOKO CALv ADOS,PAGPOKO CALv ADOS,Stores Pay Little,Stores Biya Kadan,Awọn ile itaja Sanwo Kekere,17.0,16.0,1,1,positive
927298694,913814369.0,Enna moda,E N N A,Pedido de registro de marca indeferido,Registro de marca em vigor,NCL(11) 25,NCL(11) 25,Nominativa,Mista,14/07/2022,30/11/2017,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 913814369 (E N N A). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,Enna fashion,Enna salo,Enna aṣa,E N N A,E N N A,E N N A,9.0,7.0,1,2,positive
927356163,912313145.0,JAZZ IMOBILIv≈RIA,Imobiliv∞ria Jazz.com,Pedido de registro de marca indeferido,Registro de marca em vigor,NCL(11) 36,NCL(11) 36,Mista,Nominativa,19/07/2022,16/02/2017,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 912313145 (Imobiliv∞ria Jazz.com). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,JAZZ IMOBILIv≈RIA,JAZZ IMOBILIv RIA,JAZZ IMOBILIv RIA,Imobiliv∞ria Jazz.com,Imobiliv ria Jazz com,Imobiliv ria Jazz com,17.0,21.0,1,4,positive
,913814369.0,Pv≈TIO,E N N A,,Registro de marca em vigor,NCL(10) 41,NCL(11) 25,,Mista,,30/11/2017,,0,Pv≈TIO,Pv TIO,Pv TIO,E N N A,E N N A,E N N A,,7.0,,,negative
,,Imobiliv∞ria Jazz.com,AVENUE PROFESSIONAL COSMETICS,,,NCL(11) 36,NCL(11) 03,,,,,,0,Imobiliv∞ria Jazz.com,Imobiliv ria Jazz com,Imobiliv ria Jazz com,AVENUE PROFESSIONAL COSMETICS,HANYA MAI SANA'A KOSMETICS,ONA AGBẸRẸ Ohun ikunra,,,,,negative
927346303,,PAGPOKO CALv·ADOS,AVENUE PROFESSIONAL COSMETICS,Pedido de registro de marca indeferido,,NCL(11) 25,NCL(11) 03,Mista,,19/07/2022,,,0,PAGPOKO CALv·ADOS,PAGPOKO CALv ADOS,PAGPOKO CALv ADOS,AVENUE PROFESSIONAL COSMETICS,HANYA MAI SANA'A KOSMETICS,ONA AGBẸRẸ Ohun ikunra,17.0,,,,negative
927346303,,PAGPOKO CALv·ADOS,Enna moda,Pedido de registro de marca indeferido,,NCL(11) 25,NCL(11) 25,Mista,,19/07/2022,,,0,PAGPOKO CALv·ADOS,PAGPOKO CALv ADOS,PAGPOKO CALv ADOS,Enna fashion,Enna salo,Enna aṣa,17.0,,,,negative
927305097,903872269.0,CANTINETTA DEI FIORI,DI FIORI,Pedido de registro de marca indeferido,Registro de marca em vigor,NCL(11) 43,NCL(9) 43,Nominativa,Nominativa,14/07/2022,20/07/2011,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 903872269 (DI FIORI). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,CANTINETTA DEI FIORI,CANTINETTA DEI FIORI,CANTINETTA DEI FIORI,DI FIORI,DI FIORI,DI FIORI,20.0,8.0,0,12,positive
