mark1_id,mark2_id,mark1_wordmark,mark2_wordmark,mark1_status,mark2_status,label,pair_type,mark1_wordmark_en,mark1_wordmark_ha,mark1_wordmark_yo,mark2_wordmark_en,mark2_wordmark_ha,mark2_wordmark_yo,mark1_length,mark2_length,length_diff,visual_levenshtein,visual_jaro_winkler,soundex_match,metaphone_match,semantic_similarity_en,semantic_similarity_ha,semantic_similarity_yo
927315564,900857102.0,BRAZIL REAL,BRASIL REAL,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL BRAZIL,GASKIYA BRAZIL,ODODO BRAZIL,REAL BRAZIL,GASKIYA BRAZIL,ODODO BRAZIL,11,11,0,1,0.9575757575757576,1,1,1.0,0.9999997615814209,1.0
927091305,829468625.0,REVITA SILOS MANUTENv·v…O E REVITALIZAv·v…O,REVITA ENGENHARIA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REVITA SILOS MAINTENANCEv·v…O AND REVITALIZAv·v…O,REVITA SILOS MAINTENANCEv v O KUMA REVITALIZAv v O,REVITA SILOS MANTENANCEv v O ATI REVITALIZAv v O,REVITA ENGENHARIA,REVITA ENJERIYA,REVITA ENGANHARIA,43,17,26,30,0.677063383492932,0,0,0.5897126197814941,0.6071090698242188,0.5906184315681458
,,FERTECK FERRAGENS,EMPRESA MAIS LUCRATIVA,,,0,negative,FERTECK HARDWARE,FERTECK HARDWARE,FERTECK HARDWARE,MOST PROFITABLE COMPANY,MAFI YAWA RIBA kamfani,Julọ ERE ilé-iṣẹ́,17,22,5,18,0.5280748663101604,0,0,0.04113507270812988,0.2832343578338623,0.23805922269821167
,,Casa Branca BG,vÁv·AR,,,0,negative,White House BG,Fari Gida BG,Funfun Ile BG,vÁv·AR,vÁv AR,vÁv AR,14,6,8,14,0.0,0,0,0.3005595803260803,0.47149714827537537,0.49346286058425903
927347776,904691705.0,LeOffer,OFFER % TV,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,LeOffer,LeOffer,LeOffer,OFFER %TV,BAYANI TV,Ìfilọ TV,7,10,3,10,0.4142857142857143,0,0,0.24821336567401886,0.26479363441467285,0.33223676681518555
927318032,912253525.0,KAVILA,CAOVILLA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,KAVILA,KAVILA,KAVILA,CAOVILLA,CAOVILLA,CAOVILLA,6,8,2,3,0.8194444444444445,0,1,0.8747299313545227,0.8747298717498779,0.8747298717498779
927376172,921608578.0,Maria Papeleira,Maria papeleira livraria e papelaria desde 2004,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Maria Papeleira,Mariya Papeleira,Maria Papeleira,Maria Papeleira bookstore and stationery since 2004,Mariya Papeleira kantin sayar da littattafai KUMA kayan aikin rubutu tun 2004,Maria Papeleira ile itaja iwe ATI ohun elo ikọwe niwon Ọdun 2004,15,47,32,33,0.8319554204660587,1,0,0.6660655736923218,0.7997950315475464,0.6859697103500366
,,DESIGN DE VENDAS,PSI,,,0,negative,SALES DESIGN,SALLAR Zane,TITA Apẹrẹ,PSI,PSI,PSI,16,3,13,14,0.5972222222222222,0,0,0.14427784085273743,0.5276200771331787,0.4657400846481323
927332272,822282259.0,REAL GESSO DRYWALL,REAL,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL PLASTER DRYWALL,GASKIYA PLASTER DRYWALL,ODODO Pilasita ÒGÚN,REAL,GASKIYA,ODODO,18,4,14,14,0.8444444444444446,0,0,0.7080520391464233,0.7135528326034546,0.752478837966919
927321700,903123983.0,Poison,PLUSH POISON,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Poison,Guba,Majele,PLUSH POISON,PLUSH Guba,PLUSH Majele,6,12,6,11,0.4166666666666667,0,0,0.3783029019832611,0.9384121298789978,0.8555966019630432
,,Maria Papeleira,CIMENTO REAL,,,0,negative,Maria Papeleira,Mariya Papeleira,Maria Papeleira,REAL CEMENT,GASKIYA CEMENT,ODODO Simẹnti,15,12,3,15,0.43333333333333335,0,0,0.1503860503435135,0.22402527928352356,0.5238590240478516
927350866,922837066.0,GEOMIX FUNDAv·vÔES E CONSTRUv·vÔES,GEOMIX CONSULTORIA E MINERAv·v…O,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,GEOMIX FUNDAv·vÔES AND CONSTRUv·vÔES,GEOMIX FUNDAv vÔES KUMA CONSTRUv vÔES,GEOMIX FUNDAv vÔES ATI CONSTRUv vÔES,GEOMIX CONSULTORIA E MINERAv·v…O,GEOMIX CONSULTORIA E MINERAv v O,GEOMIX CONSULTORIA E MINERAv v O,34,32,2,18,0.8268702046035805,0,0,0.8478877544403076,0.8116446733474731,0.8294727802276611
