mark1_id,mark2_id,mark1_wordmark,mark2_wordmark,mark1_status,mark2_status,mark1_class,mark2_class,mark1_presentation,mark2_presentation,mark1_date,mark2_date,similarity_reason,label,mark1_wordmark_en,mark1_wordmark_ha,mark1_wordmark_yo,mark2_wordmark_en,mark2_wordmark_ha,mark2_wordmark_yo,mark1_length,mark2_length,same_class,length_diff,pair_type
,903708981.0,Power Sek,Digital Light,,Registro de marca em vigor,NCL(11) 05,NCL(9) 42,,Mista,,02/06/2011,,0,PowerSek,Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin,Agbára,Digital Light,na dijital Haske,oníjìtù ÌWÉ,,13.0,,,negative
924781777,824977874.0,LIDER DESIGN,LvÁDER ESTOFADOS,Aguardando apresentavﬂv£o e exame de recurso contra o indeferimento,Registro de marca em vigor,NCL(11) 35,NCL(8) 20,Mista,Nominativa,03/11/2021,21/08/2002,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 824977882 (LvÁDER INTERIORES), Processo 922618925 (LIDER MvÏVEIS), Processo 824977874 (LvÁDER ESTOFADOS), Processo 829240080 (LvÁDER), Processo 921498934 (CENTER LvÁDER), Processo 922618968 (LIDER PLANEJADOS), Processo 922618780 (LIDER LOJAS), Processo 904642275 (Lvder Casa) e Processo 913137499 (LvÁDER INTERIORES). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,LEADER DESIGN,Jagora ƙira,Olùdarí yàwòrán,UPHOLSTERY LEVEL,Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙar Matsayi,ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌNÀN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN,12.0,16.0,0,4,positive
,919511244.0,COSENZA,Power Sek,,Registro de marca em vigor,NCL(8) 03,NCL(11) 05,,Nominativa,,03/04/2020,,0,COSENZA,COSENZA,COSENZA,PowerSek,Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin,Agbára,,9.0,,,negative
925113352,828837325.0,KOLENZA,COSENZA,Aguardando apresentavﬂv£o e exame de recurso contra o indeferimento,Registro de marca em vigor,NCL(11) 03,NCL(8) 03,Nominativa,Mista,03/12/2021,07/11/2006,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 822359359 (COSENZA) e Processo 828837325 (COSENZA). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,KOLENZA,KOLENZA,KOLENZA,COSENZA,COSENZA,COSENZA,7.0,7.0,0,0,positive
927894130,828837325.0,SECPOWER,COSENZA,Aguardando apresentavﬂv£o e exame de recurso contra o indeferimento,Registro de marca em vigor,NCL(11) 05,NCL(8) 03,Nominativa,Mista,02/09/2022,07/11/2006,,0,SECPOWER,Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin,ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN,COSENZA,COSENZA,COSENZA,8.0,7.0,,,negative
927894130,919511244.0,SECPOWER,Power Sek,Aguardando apresentavﬂv£o e exame de recurso contra o indeferimento,Registro de marca em vigor,NCL(11) 05,NCL(11) 05,Nominativa,Nominativa,02/09/2022,03/04/2020,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 919511244 (Power Sek). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,SECPOWER,Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin,ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN,PowerSek,Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin,Agbára,8.0,9.0,1,1,positive
927894130,,SECPOWER,KOLENZA,Aguardando apresentavﬂv£o e exame de recurso contra o indeferimento,,NCL(11) 05,NCL(11) 03,Nominativa,,02/09/2022,,,0,SECPOWER,Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin,ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN,KOLENZA,KOLENZA,KOLENZA,8.0,,,,negative
927735091,903708981.0,LIGHT ENGENHARIA E SOLUv·vÔES,Digital Light,Aguardando apresentavﬂv£o e exame de recurso contra o indeferimento,Registro de marca em vigor,NCL(11) 42,NCL(9) 42,Mista,Mista,19/08/2022,02/06/2011,"A marca reproduz ou imita os seguintes registros de terceiros, sendo, portanto, irregistrv∞vel de acordo com o inciso XIX do Art. 124 da LPI: Processo 831062568 (LIGHT), Processo 831062622 (LIGHT ENERGIA), Processo 917150457 (LIGHT CONECTA), Processo 831062550 (LIGHT), Processo 840332335 (LIGHT RECICLA), Processo 903708981 (Digital Light), Processo 906437741 (WE LIGHT. YOU THINK. WE LIGHT.), Processo 831062681 (LIGHT ENERGIA), Processo 831062800 (LIGHT SOLUv·vÔES), Processo 840332394 (LIGHT RECICLA), Processo 840332432 (LIGHT RECICLA), Processo 906230772 (DMP LIGHT), Processo 917150570 (LIGHT CONECTA), Processo 831062703 (LIGHT ENERGIA) e Processo 831062843 (LIGHT SOLUv·vÔES). Art. 124 - Nv£o sv£o registrv∞veis como marca: XIX - reproduvﬂv£o ou imitavﬂv£o, no todo ou em parte, ainda que com acrv©scimo, de marca alheia registrada, para distinguir ou certificar produto ou servivﬂo idvôntico, semelhante ou afim, suscetvvel de causar confusv£o ou associavﬂv£o com marca alheia",1,LIGHT ENGINEERING AND SOLUV·VÔES,Haske Injiniya Kuma Ƙarƙashin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin ƙwayoyin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙar,ÌWÉ ÌGBÉSÍ ÌGBÉSÍ ÌGBÉSÍ ÌGBÉSÍ ÌGBÉSÍ ÀWỌN SOLUV Àwọn ojúewé wọ̀nyí jápọ̀ mọ́:,Digital Light,na dijital Haske,oníjìtù ÌWÉ,29.0,13.0,0,16,positive
		                            	-		                                ,,,,,,,,,,,,,1,,,,,,,0.0,0.0,0,0,positive
,824977874.0,Power Sek,LvÁDER ESTOFADOS,,Registro de marca em vigor,NCL(11) 05,NCL(8) 20,,Nominativa,,21/08/2002,,0,PowerSek,Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin Ƙarfin,Agbára,UPHOLSTERY LEVEL,Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙarƙashin Ƙar Matsayi,ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌNÀN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN ÀWỌN,,16.0,,,negative
