mark1_id,mark2_id,mark1_wordmark,mark2_wordmark,mark1_status,mark2_status,label,pair_type,mark1_wordmark_en,mark1_wordmark_ha,mark1_wordmark_yo,mark2_wordmark_en,mark2_wordmark_ha,mark2_wordmark_yo,mark1_length,mark2_length,length_diff,visual_levenshtein,visual_jaro_winkler,soundex_match,metaphone_match,semantic_similarity_en,semantic_similarity_ha,semantic_similarity_yo
927315564,900857102.0,BRAZIL REAL,BRASIL REAL,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL BRAZIL,GASKIYA BRAZIL,ODODO BRAZIL,REAL BRAZIL,GASKIYA BRAZIL,ODODO BRAZIL,11,11,0,1,0.9575757575757576,1,1,0.9999998807907104,0.9999999403953552,1.0
927091305,829468625.0,REVITA SILOS MANUTENv·v…O E REVITALIZAv·v…O,REVITA ENGENHARIA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REVITA SILOS MAINTENANCEv·v…O AND REVITALIZAv·v…O,REVITA SILOS MAINTENANCEv v O KUMA REVITALIZAv v O,REVITA SILOS MANTENANCEv v O ATI REVITALIZAv v O,REVITA ENGENHARIA,REVITA ENJERIYA,REVITA ENGANHARIA,43,17,26,30,0.677063383492932,0,0,0.5897125005722046,0.6071090698242188,0.5906183123588562
,,POISON VIVIANE ARRUDA,NINO AQUECEDORES,,,0,negative,POISON VIVIANE ARRUDA,Guba VIVIAN ARRUDA,Majele VIVIANE ARRUDA,NINO HEATER,NINO ZANGO,NINO AGBANA,21,16,5,16,0.5525793650793651,0,0,0.521550178527832,0.736649751663208,0.7164448499679565
,,SKINLAB COSMv‚TICOS,Fly imoveis,,,0,negative,SKINLAB COSMv‚TICOS,SKINLAB COSMv TICOS,SKINLAB COSMv TICOS,Fly real estate,Tashi GASKIYA dukiya,Fo ODODO ohun ini,19,11,8,17,0.42902711323763953,0,0,-0.049883536994457245,0.25258001685142517,0.23877093195915222
927347776,904691705.0,LeOffer,OFFER % TV,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,LeOffer,LeOffer,LeOffer,OFFER %TV,BAYANI TV,Ìfilọ TV,7,10,3,10,0.4142857142857143,0,0,0.24821335077285767,0.26479339599609375,0.33223676681518555
927318032,912253525.0,KAVILA,CAOVILLA,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,KAVILA,KAVILA,KAVILA,CAOVILLA,CAOVILLA,CAOVILLA,6,8,2,3,0.8194444444444445,0,1,0.8747298121452332,0.8747298717498779,0.8747297525405884
927376172,921608578.0,Maria Papeleira,Maria papeleira livraria e papelaria desde 2004,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Maria Papeleira,Mariya Papeleira,Maria Papeleira,Maria Papeleira bookstore and stationery since 2004,Mariya Papeleira kantin sayar da littattafai KUMA kayan aikin rubutu tun 2004,Maria Papeleira ile itaja iwe ATI ohun elo ikọwe niwon Ọdun 2004,15,47,32,33,0.8319554204660587,1,0,0.6660656929016113,0.7997950315475464,0.6859697103500366
,,PSI,Pv≈TIO,,,0,negative,PSI,PSI,PSI,Pv≈TIO,Pv TIO,Pv TIO,3,6,3,4,0.6666666666666666,0,0,0.6759035587310791,0.6078459620475769,0.6078459024429321
927332272,822282259.0,REAL GESSO DRYWALL,REAL,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL PLASTER DRYWALL,GASKIYA PLASTER DRYWALL,ODODO Pilasita ÒGÚN,REAL,GASKIYA,ODODO,18,4,14,14,0.8444444444444446,0,0,0.7080520391464233,0.7135524749755859,0.7524787187576294
927321700,903123983.0,Poison,PLUSH POISON,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,Poison,Guba,Majele,PLUSH POISON,PLUSH Guba,PLUSH Majele,6,12,6,11,0.4166666666666667,0,0,0.37830281257629395,0.9384121894836426,0.8555968403816223
,,E N N A,Okan Chocolats,,,0,negative,E N N A,E N N A,E N N A,Okan Chocolates,Okan Chocolates,Okan Chocolates,7,14,7,13,0.4047619047619047,0,0,0.31757378578186035,0.31757378578186035,0.31757381558418274
927350866,922837066.0,GEOMIX FUNDAv·vÔES E CONSTRUv·vÔES,GEOMIX CONSULTORIA E MINERAv·v…O,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,GEOMIX FUNDAv·vÔES AND CONSTRUv·vÔES,GEOMIX FUNDAv vÔES KUMA CONSTRUv vÔES,GEOMIX FUNDAv vÔES ATI CONSTRUv vÔES,GEOMIX CONSULTORIA E MINERAv·v…O,GEOMIX CONSULTORIA E MINERAv v O,GEOMIX CONSULTORIA E MINERAv v O,34,32,2,18,0.8268702046035805,0,0,0.8478877544403076,0.811644434928894,0.8294726610183716
,,Poison,Digno Tempero Natural,,,0,negative,Poison,Guba,Majele,Worthy Natural Seasoning,KYAUTA na halitta Kayan yaji,OHUN àdáyébá Igba,6,21,15,19,0.5357142857142857,0,0,0.09536714851856232,0.6663365364074707,0.5435435771942139
,,MASCOTINHO Encantado,LOJA NINO,,,0,negative,Enchanted PET,Sihiri PET,Enchanted PET,NINO STORE,NINO shago,NINO ṣọ́ọ̀bù,20,9,11,17,0.5444444444444444,0,0,0.25238463282585144,0.5076285004615784,0.3604857325553894
927332272,920807569.0,REAL GESSO DRYWALL,Cal Mina Real,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,REAL PLASTER DRYWALL,GASKIYA PLASTER DRYWALL,ODODO Pilasita ÒGÚN,Cal Mina Real,Cal Mina GASKIYA,Cal Mina ODODO,18,13,5,15,0.46581196581196577,0,0,0.3467442989349365,0.5295370817184448,0.6873207092285156
927298597,830654984.0,AVENUE PROFESSIONAL COSMETICS,AVENUE COSMETICS,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,AVENUE PROFESSIONAL COSMETICS,HANYA MAI SANA'A KOSMETICS,ONA AGBẸRẸ Ohun ikunra,AVENUE COSMETICS,HANYA KOSMETICS,ONA Ohun ikunra,29,16,13,13,0.8603448275862069,0,0,0.7728440165519714,0.7946833372116089,0.8972177505493164
927343754,918712572.0,ALTAS HORAS BEBIDAS E CONVENIv‰NCIA,ALTAS HORAS BAR E RESTAURANTE,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,HIGH DRINKING HOURS AND CONVENIENCE,MAI GIRMA SHA HOURS KUMA DAFATAN,GIGA MIMU WAKATI ATI IWURE,HIGH HOURS BAR AND RESTAURANT,MAI GIRMA HOURS BAR KUMA gidan cin abinci,GIGA WAKATI Pẹpẹ ATI ilé oúnjẹ,35,29,6,17,0.8501656963725929,0,0,0.6470037698745728,0.8175315856933594,0.5801213979721069
927378809,903891441.0,vÁv·AR,Icar,Pedido de registro de marca indeferido,Registro de marca em vigor,1,positive,vÁv·AR,vÁv AR,vÁv AR,Icar,icar,icar,6,4,2,6,0.0,0,0,0.5396007299423218,0.6393617987632751,0.6393618583679199
,,SKINLAB COSMv‚TICOS,Elluxo jóias,,,0,negative,SKINLAB COSMv‚TICOS,SKINLAB COSMv TICOS,SKINLAB COSMv TICOS,Elluxo jewelry,Elluxo KAYAN ADO,Elluxo IGBAGBÜ,19,12,7,18,0.37865497076023386,0,0,0.2747308015823364,0.17068403959274292,0.3217012584209442
